Epoch: 735 PSNR=20.474616070612104, SSIM=0.39586845888111427, MSE=27.596858443646894, gradientA=0, gradientB=0 
Epoch: 740 PSNR=23.69701466279833, SSIM=0.5706706324241549, MSE=27.91485370598673, gradientA=0, gradientB=0 
Epoch: 745 PSNR=22.751958242841013, SSIM=0.5241765818266739, MSE=27.477171746534385, gradientA=0, gradientB=0 
Epoch: 750 PSNR=22.654020169596556, SSIM=0.48583891208317126, MSE=27.809843153447964, gradientA=0, gradientB=0 
Epoch: 755 PSNR=22.791791050343917, SSIM=0.501416385013158, MSE=27.808902964379566, gradientA=0, gradientB=0 
Epoch: 760 PSNR=22.027858136289208, SSIM=0.48171564801001565, MSE=27.730535531573018, gradientA=0, gradientB=0 
Epoch: 765 PSNR=22.681395049855766, SSIM=0.507043113394032, MSE=27.82305695500154, gradientA=0, gradientB=0 
Epoch: 770 PSNR=23.42467249339568, SSIM=0.5386323328960783, MSE=27.70552835692235, gradientA=0, gradientB=0 
Epoch: 775 PSNR=23.391834169218157, SSIM=0.5371720682086873, MSE=27.76375720353146, gradientA=0, gradientB=0 
Epoch: 780 PSNR=23.67201794230328, SSIM=0.5674914401314877, MSE=27.742269231879774, gradientA=0, gradientB=0 
Epoch: 785 PSNR=22.88843699319158, SSIM=0.5154229057936103, MSE=27.77857861423557, gradientA=0, gradientB=0 
Epoch: 790 PSNR=23.39707778813017, SSIM=0.5330165865423102, MSE=27.766264460193433, gradientA=0, gradientB=0 
Epoch: 795 PSNR=22.035039003529636, SSIM=0.48474487626677826, MSE=27.795744103286165, gradientA=0, gradientB=0 
Epoch: 800 PSNR=23.644340620242097, SSIM=0.5693145853562693, MSE=27.863993079762473, gradientA=0, gradientB=0 
Epoch: 805 PSNR=23.767496489471156, SSIM=0.5564945632983361, MSE=27.833228993928692, gradientA=0, gradientB=0 
Epoch: 810 PSNR=22.41179152032318, SSIM=0.511662483806844, MSE=27.801160589567207, gradientA=0, gradientB=0 
Epoch: 815 PSNR=20.083413173329614, SSIM=0.3866003717495419, MSE=27.591578377193713, gradientA=0, gradientB=0 
Epoch: 820 PSNR=23.022271719942342, SSIM=0.5198028816296559, MSE=27.594327336040937, gradientA=0, gradientB=0 
Epoch: 825 PSNR=22.965769822273952, SSIM=0.5103404939871422, MSE=27.628078546910103, gradientA=0, gradientB=0 
Epoch: 830 PSNR=19.595647673925484, SSIM=0.3792316839634882, MSE=27.55533070442315, gradientA=0, gradientB=0 
Epoch: 835 PSNR=22.42039022474426, SSIM=0.4975247570858138, MSE=27.899034924522486, gradientA=0, gradientB=0 
Epoch: 840 PSNR=19.918878547177574, SSIM=0.37115863408360783, MSE=27.858201114001474, gradientA=0, gradientB=0 
Epoch: 845 PSNR=20.60534640344359, SSIM=0.42012164093410775, MSE=27.833333973416952, gradientA=0, gradientB=0 
Epoch: 850 PSNR=20.928509510138074, SSIM=0.4187523316533826, MSE=27.65437678956404, gradientA=0, gradientB=0 
Epoch: 855 PSNR=23.225893789703232, SSIM=0.5256138936340958, MSE=27.824124621686735, gradientA=0, gradientB=0 
